Name,Original Title,Show Type,Release Year,Age Rating,Duration,Episodes,Seasons,Years,Rating,Number of Ratings,Poster Link,Trailer Link,Genres,Description,Stars,Streaming Services
When the Weather is Fine,Nalssiga joeumyeon chajagagesseoyo,TV Series,2020,N/A,1h,16,1,N/A,7.7,2.6K,https://www.imdb.com/title/tt11535086/mediaviewer/rm363627777/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3876045337/1434659607842-pgv4ql-1659953841157.mp4?Expires=1730703420&Signature=MiErTKA8oJSCpIqsxykO0zpUnLgihnXHRai4Xo6PeoYnhkQrqoLzMgHXd75FUmLCdmIbYq1hXAym5CbOASw870GJb0c3ckSrEfEPuiEnAzEVgSqXSOyp0C71BBBJ6Gj780NrYE2mMdi-lB7ffbM0U8v2~ELlHZ7ZMx2tDdHHxsph1Sb9spvy1nKgNj65DufYfdIh11vOwIFrMha6wWGskbbsIGTQwTcuMpjHzOBCJUKu6iRaku~i0VT63bFRTbG8x76TiBAY0PtssQh9OdZyYQEKEKDz7VzMsflHZ5P2EsKAJ8JkF2U2F0qkVUMIq3lX8NEAKR2yociVd3MedSFx3Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance","A story about forgiveness, healing and love taking place around a small book store in the countryside.","Park Min-young, Seo Kang-joon, Moon Jeong-Hee",Watch on Netflix (https://www.netflix.com/watch/81296714)
Song of the Bandits,Dojeok: Kalui Sori,TV Series,2023,TV-MA,1h,9,1,N/A,7.2,2.5K,https://www.imdb.com/title/tt21627436/mediaviewer/rm553540609/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2684077849/1434659607842-pgv4ql-1693313472563.mp4?Expires=1730700222&Signature=ESOhpa4oyHw4S2hEGalILKgb4xLnH6QJltctVB8X60kgescso7OQ3WqIMerNzFqKwqXMlQKhFM21PaQnmiUclefBmydi6JP57nY8~T-RrZw5xJr9tPXnMuwiVFlsxjL~etMptJ42SoRps0KSZJAbDDqGIH5uMFKzVKklhcJe8r1lLxRhDQDdSg-WqmQD2Gmmp6tRG23jL7W5vyDMhCoFuo~~sCW01ONxfMqWfD8Lfz5E2MRbxHgKMt40TVBgS-Q5xYE~ZSnGHnzbPL1M203JXhnDTgMGfbd8gOuUimWMGtLCqPNL390Fi16ljMmBxtSGZGh8OhF9LEyXNNjkFkUXZQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Period Drama, Action, Drama, History, Western","The Koreans who gathered in Gando, Manchuria, for their own reasons and band together to protect their homes during 1910-45 Japanese colonial rule.","Kim Nam-gil, Seohyun, Yoo Jae-myung",Watch on Netflix (https://www.netflix.com/watch/81484051)
Youth of May,Oworui Cheongchun,TV Series,2021,N/A,1h 5m,12,1,N/A,8.3,2.5K,https://www.imdb.com/title/tt14166666/mediaviewer/rm497467393/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi227525401/1434659607842-pgv4ql-1635421268182.mp4?Expires=1730700881&Signature=Y1qYB1HT-8M6Uzltfcts7V~2v8jIxRmdcPv3y-ATdZwd2uSk6oFcwblly5PJA-E83FyOVC6ARdlx1zyfyjRIYtMMhY5-1BfUuxj87u-hs4XpX4wFVMHIT8IoX1QNOFWA7K86MJZgdnRbRKLkN5deX4LkecmVnd69kYxyTCANhWe7R6fC3AkyIjAIxDu716dICsWoOXSH3DZOrr2C9KoTG28THp~GaRN0d7gyeS3EtK3Wl6Ip3~8yx9CyvGMXeh3lz3xwgK~VNqHiWusyDHRuFOhcKyP-kYwVnUT44FpsQT91FjmEH~lkH6Na-Rz~h-POZps9Iu6eoLJwmJ8ycbHITw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, History, Romance","In May, 1980, during the turbulent times of the Gwangju Uprising, Hee-Tae and Myung-Hee fall in love. Their love seems destined by fate.","Lee Do-hyun, Go Min-si, Lee Sang-yi",
Another Miss Oh,Ddo Oh Hae Yeong,TV Series,2016,N/A,1h 10m,18,N/A,N/A,7.8,2.5K,https://www.imdb.com/title/tt5679572/mediaviewer/rm718899201/?ref_=tt_ov_i,N/A,"Feel-Good Romance, Comedy, Fantasy, Romance","A romantic television series about two women who not only share the same name Oh Hae Young but they also share a destiny with the same man, Park Do Kyung, who can see the future.","Eric Moon, Seo Hyeon-jin, Ye Ji-won","Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.c4b9fe76-b546-8c1d-4e0b-6a4bd398bd8a), Watch on The Roku Channel (https://therokuchannel.roku.com/details/1d8a139a8ef95ec4ab619315bfa32d5a)"
"Hi Bye, Mama!",N/A,TV Series,2020,N/A,1h 10m,16,1,N/A,7.9,2.4K,https://www.imdb.com/title/tt11804034/mediaviewer/rm4016683777/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi4055350809/1434659607842-pgv4ql-1582808529975.mp4?Expires=1730703321&Signature=j9yPdrIrxi~2-f6s02kI4jCbAbkdjFSnGIx3VpFFUDxCTtYxYJJhLElAF0nbYaI4qYJAstR5fsi8TzmqrpaJ9T~5eNGbBK9V6zoilN27ItmFkDHuVKv~DP7qFMROTIoFsLnHtgoS58PLNLfipl1XCMFTIs9kWXtMxeM8iM1HJFfMtxMIVU4rAg30ZdFTrIMGRh6H7yUJOrRbo06gRLGv0PrdGiFHxm8VYi6m8UnQr~SiCG5XH63AeJ5okC0X~Bsi5A2k9gG-k62eACippH7wrJf~JlF6Ky83pPyoUrW18wLETgWKeaeQFXUclwYpALZjorqyza65gFhMMRXB-qrHJg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Drama, Fantasy",It's the story of a mother who died and begins a 49-day long project of reincarnation and a husband who has barely begun to live a new life after overcoming the pain of losing his wife.,"Kim Tae-hee, Lee Kyoo-hyung, Ko Bo-gyeol",Watch on Netflix (https://www.netflix.com/watch/81243996)
He is Psychometric,Saikometeuri Geunyeoseok,TV Series,2019,N/A,1h 5m,16,1,N/A,7.7,2.4K,https://www.imdb.com/title/tt9696162/mediaviewer/rm592865536/?ref_=tt_ov_i,N/A,"Fantasy, Mystery, Romance, Thriller","A boy who is able to read the secrets of those whose skin comes in contact with him, and a girl who does her best to hide her pain.","Park Jin-young, Shin Ye-eun, Kwon Kim",
Son: The Guest,N/A,TV Series,2018,TV-MA,1h 5m,16,1,N/A,8.1,2.4K,https://www.imdb.com/title/tt8801670/mediaviewer/rm2187487745/?ref_=tt_ov_i,N/A,"Supernatural Horror, Drama, Horror, Mystery, Thriller","A psychic, a Catholic priest, and a detective team up to fight crimes caused by supernatural forces.","Kim Dong-wook, Kim Jae-Wook, Jung Eun-chae",
Remarriage & Desires,N/A,TV Series,2022,TV-14,1h 10m,8,N/A,N/A,7.3,2.3K,https://www.imdb.com/title/tt15268768/mediaviewer/rm1973359873/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi231588377/1434659607842-pgv4ql-1656680758291.mp4?Expires=1730737565&Signature=s7hbJ9UQf4BYlWMrdFYk38k3cu8JdnouRWrzyPBZ2VePHEGcGsICHSAyfVXsRlqKbM0wot3OHmhDMYIXiYoV1qnTmbuQwNDANt~meSR2hWRCuuXRnqtSwkpBP9cRM5YdTxmkbrIGBH3FcsYi6CK~t8owDqg7R9abHJ5Tvn0D4x9JoJiU8Rovy63rfrllal9xFRlc7a2lYPDzFtNxOEOu-jugTzf04a3nWi3YJvt2sU6XN5tqSaR0z4t01jHuciP~MUmjoLTNtjtHMan3k~bUCKAIWezmkxoEZwe7kAa9dH1r~2DEY9AfMU-n1YTLoCsXsaC9NuJAjB~or1vCKOKzyw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,Drama,"Through an exclusive matchmaking agency, women strive to marry a desirable bachelor and into the highest echelon of society.","Kim Hee-seon, Lee Hyun-wook, Cha Ji-yeon",Watch on Netflix (https://www.netflix.com/watch/81442115)
She Would Never Know,"Sunbae, Geu Libseutik Bareujimayo",TV Series,2021,TV-14,1h 5m,16,1,2,7.5,2.3K,https://www.imdb.com/title/tt13446244/mediaviewer/rm3878475521/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3321611033/1434659607842-pgv4ql-1636371722666.mp4?Expires=1730701078&Signature=kHixR0mk7X~K-KuhsK~b7EF1S6dl4XU~vZu1hWk8rMdoCgupsjRxr17OEeUGXiWx31fkT77egtXnl7sy3lZlNyvnOAl4AOce8mLVV28Gg0oCxda4Rq26q7GqZ8kH~T2ifbvokNHltvtXYeWyGk0nvAt63lC0K~37cBQFfDv3oZFSoNOueuYujoyVcqg35ypC65UvGN45WTsf0i~b8sM0Cx67StFZCiPNuV4FsavouAgx8P8PHMxly7w35O95DJXX7z285jsG-gBfbIhw7dMTVz2ecjmacMM6kyde23e9cIf-Xc0S3Vtl1YZ0XNGwHm0EZ4kcAE5KXhH1NNtCU7WM3w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Romance","Based on a popular 2017 Web Novel of the same name, it tells the love story between a lovely ""sunbae"" and a bold ""hoobae"".","Won Jin-ah, Kim Ro-Woon, Lee Hyun-wook","Watch on Netflix (https://www.netflix.com/watch/81394495), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.2a2e803e-cd06-422a-9a24-7ce096af1a60), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.2a2e803e-cd06-422a-9a24-7ce096af1a60)"
So I Married My Anti-Fan,Geuraeseo Naneun Antipaengwa Gyeolhonhaetda,TV Series,2021,TV-14,1h 2m,16,N/A,N/A,7.2,2.3K,https://www.imdb.com/title/tt14518610/mediaviewer/rm2774057729/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3374497817/1434659607842-pgv4ql-1623406958650.mp4?Expires=1730737512&Signature=qQyeBscV0EWED1T3ajy23Z6OcXFIsSUGXCt0ty3JVq8bCi-qSu1F37JDDu50DC51--Skbl5Bnwb~rUuyjXhL54D09JutRAiIFd2XOYNGxlNyZ5ZqiYd8iki2cty3rqq0rH9MhwpgmnkgT3dUggfxtR0ue~ScZBz4DhPg5Bs8SU-lSeI4F4dl6KE4hhEICe3ZhvijiQSYX8nORf6GvVQWnJLFR7lU0wg~lME1OkIG24lUTU6ZQYD6Mf4otR3ajtgL-jgjAyH-w2njkYuVVLmzE~Bf6-rZS8Yc7g7BBMKXkxejwuNGLd~yR5LBmOXMGatKz~GstyH5q9cXRPnq3c0jDA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Romantic Comedy, Comedy, Music, Romance",The romance between top star Hoo Joon and his anti-fan reporter Lee Geun Young who end up living together.,"Choi Tae-joon, Sooyoung Choi, Hwang Chan-sung","Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.b5d756c8-6dee-4a8f-a1ee-0994fdab4bd6), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.b5d756c8-6dee-4a8f-a1ee-0994fdab4bd6)"
Doctor John,Uisa Yohan,TV Series,2019,N/A,35m,32,1,N/A,8,2.3K,https://www.imdb.com/title/tt10544464/mediaviewer/rm3980225025/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3405300505/1434659607842-pgv4ql-1636095324821.mp4?Expires=1730703284&Signature=F6Remmr30L5IAJXxR2xOtrIL9HGuV888aaXsR81pWFricwvHzkbeg8TWOd44pmX5A1pIyGnFMlkS~iUQTwXi47u5EQpeNhtzbBh0E43fQ162cKe66IT2CjjJ~0FMEK45tgwVAlg~GC~JLQwA7XE6BKJD9m7QJKjfwdxXZlsoCYV3sFOfjPQY386ImwuHUlf9FA2Zly6FlTI2TZsLNaMJf7zBEM9FLVq6BBP58VbbdZZNfWOE5zj7S5q3~qOfDHPbz5RrWxB4xvzJ5k5weTLSRLVspC0qmb7ACXgODxRaTrWhZzbCpRPUTElW5F~SQsU~GjDX1LQUsTmdqnCTWqD6vQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Medical Drama, Drama, Mystery, Romance","In a refreshing take on the genre, ""Doctor John"" will portray the doctors' search for the cause of their patients' mysterious pain as a thrilling chase, almost like a detective hunting down the perpetrator behind an unsolved crime.","Ji Sung, Lee Se-yeong, Hwang Hee",
School 2017,Hakgyo 2017,TV Series,2017,TV-14,N/A,16,1,N/A,7.4,2.3K,https://www.imdb.com/title/tt7020608/mediaviewer/rm3459197952/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3237724953/1434659607842-pgv4ql-1636369479633.mp4?Expires=1730701099&Signature=NkAmeSz32HowfhIKFnPgGWLJ5Vlszxpy4fXagD2N8sSIPNhVzex7nE36fimgGnNYSZKQNfLPalD4gPO07qK6U1F4kcRQLY5akaR2Ig33N8-2ll15k~GEl0To0FWhfYLlLQ5WY1DvJfUXv5l3vh8Cx4VE0LGYU-zuNqDtLyBUF4W~GJcddYZ-h2BE--uIjzfDZOFi6W~eOD8~gqKIwVlHWmjJsYbpasaoBBq8q-W9HXhvUAVDDqzID3YgHP7g9DWRkt9GafZeFGfkeTN7NJgAx8nC~sOZH-NcYNkPcouuiw4-SCu1OinUuRa9-~ALazhbSMH2VWSO2E4O8Z8HtLtE7Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Coming-of-Age, Korean Drama, Comedy, Drama, Mystery, Romance",The story of 18-year old students who have to battle the discrimination at their school in order to have a future.,"Kim Sejeong, Kim Jung-hyun, Jang Dong-yoon",
Heartbeat,My Heart Is Beating,TV Series,2023,N/A,13+,16,N/A,N/A,7,2.2K,https://www.imdb.com/title/tt26085372/mediaviewer/rm3908902913/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi817415961/1434659607842-pgv4ql-1687277550286.mp4?Expires=1730738077&Signature=GqaPRUSXzJ4TTcvPg50BSG157Jyefx5chOAVVeRcDf7Ozbc~0dq2BRSFK6P5XYefeCkAc0AchRKnZpNMyeJGdYoV7NcKBJ~No9SDfriHnae8UC2eFGazXBhGehPXPt3qcCDdHqpddi5kauvhc9BhZ1LYlmOuI3db-9XEmeQsItwQN9bQGbObrzUqA0LuLNJxakgY5m7n5WwEy35Daqu7gz3GazBu3VAF9soobBCnVA4XzkWb5~cHHyy4bapZldcs6umstDxOw~LJcpKIKn0h1qT0trHINWAZsQkXyFPrJc12VRz54DvV7s1p~rAUkr5fuWdBQAh5-thwK1dPe6BatQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Fantasy, Romance","A romance drama about a semi-human vampire named Seon Woo-hyeol, who failed to become a human by a day out of 100 years, and a woman Joo In-hae, who doesn't have a single human decency, starting to live together and finding true warmth.","Taecyeon, Won Ji-an, Park Kang-hyun",Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.aa41abb7-401b-4477-a669-3209cf9b6940)
Chicago Typewriter,Sikago Tajagi,TV Series,2017,N/A,1h 10m,16,1,N/A,8.2,2.2K,https://www.imdb.com/title/tt6516076/mediaviewer/rm584855808/?ref_=tt_ov_i,N/A,"Drama, Fantasy, Romance","Writers that lived under Japanese rule in the 1930s are reincarnated into a bestselling writer who is in a slump, a mysterious ghostwriter, and a devoted fan of the bestselling writer.","Yoo Ah-in, Lim Soo-jung, Go Kyung-pyo",
A Good Day to Be a Dog,Onueldo Sarangseureobgae,TV Series,2023,N/A,N/A,14,N/A,2,7.2,2.1K,https://www.imdb.com/title/tt29006388/mediaviewer/rm3526251009/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1037944601/1434659607842-pgv4ql-1696477073056.mp4?Expires=1730738215&Signature=LcZ7ulIAKeh-8N-z1CZFLz36nIuYiCvp6K7xqG6Lo6yshxXWivR0qeyCg-Ozb8lsplCYe~15pTVyazUpVPAHAujd-VYjBn5D9oNCrWueRt61GaxE7~pXQ3xvEhUpn9ihVXbIU3CP3nOXUytzEx7~dhJXRF~voYy7MyqpwMWVSWQ6a3SHdxRukcCjo02NNUpUzjvckrv5XR0MEf5p-6d~6WBFeh9jul7HPn7p2LjNzommYdz3SPyK6vDNalHSU3ns~bHS9szOSNmcewqCp~uKWzVtAeafj23T5uPACyOeLjYdrUDtGvKNzbDX9UyGZ28GT12AsTHoN22ndFuSorxICg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Workplace Drama, Comedy, Fantasy, Romance","An unpredictable fantasy romance between a woman living under a curse that causes her to turn into a dog when kissed, and the only one who can help her overcome the curse is a man who is afraid of dogs.","Cha Eun-woo, Park Gyuyoung, Lee Hyun-woo",
Cafe Minamdang,Minamdang,TV Series,2022,TV-MA,1h 5m,18,1,N/A,7.3,2.1K,https://www.imdb.com/title/tt21049186/mediaviewer/rm1986292225/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3151544857/1434659607842-pgv4ql-1655472989371.mp4?Expires=1730701115&Signature=pNvUw2hWwj64JuKIFXGjezXbSNpfQeaKh8sJYL2Lo0vcrPpLqmIEiaEl7ir0Fn8Ap53vU7GhrvuWPQzQB~ZGsjQhBqqiQ1ZQcxWP54-Q-SmU2e6Dg52wWEBzAvNKWCjMuU7thiG2cXhUoUovsLGI5qN-L0VjUqrrEaKmkHruU~oRvxSqGjmDpfYhrHhhgSSgiYIqUKaIcm7cyTKttW4Np9Qu3IkY6vCwA6ikhP6rx~1~qlXmVoN9HThg6hnfJgDlvIgEOV1doWGYRo2MhA1mqO9BIP9HWEPWYMh9Uviy94AuH2RfdBSTwg6Hy1yM7IpGR6ZBI6098OlJ-CIN90rwNA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Crime, Drama, Thriller",A story about a former criminal profiler who now works as a fraudster posing as a fortune teller and the female detective who gets involved with him.,"Seo In-guk, Oh Yeon-Seo, Kwak Si-yang",Watch on Netflix (https://www.netflix.com/watch/81568217)
The Tale of Nokdu,Joseonroko Nokdujeon,TV Series,2019,N/A,30m,32,1,N/A,7.7,2.1K,https://www.imdb.com/title/tt10808968/mediaviewer/rm3917392385/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3472605977/1434659607842-pgv4ql-1636367837459.mp4?Expires=1730703415&Signature=sDIm6Y3D9IlrL27abmW3ik3ex8099Kr~2E8-nVI88~pwzQkBl9MiuWJ~nuXyyJYy0RX5pi1EhHNxh4~of7TQHI-TXhdAPvTqOfLVg5qTS1ScA7FEgk2gZ4D9OYOMu20NHvEddcJm5eI87d7DSCA2QtuAB7shvdrSO7XdvGIpb5Lw4ZpHIG0m3SWNG~QL3qHj3vhc5ba9EEdI3wdSjigIJJsQcLuT0Bth081tlhagEcI2TCLS6P5~-bp9hBOBrib6SZxSv46rJTVyBKSsVWgeK87rWfroBzOOIDngUiwcR0J1Iktr1trdHoOUzIdWEI~dRba0AptlFhw8tdAJymK0aQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Action, Comedy, History, Romance","During the Joseon period, a man named Jeon Nok-du disguises himself as a woman to escape into a village of widows. There, he meets Dong Dong-ju, a kisaeng trainee who is more fond of crafts than singing or dancing.","Jang Dong-yoon, Kim So-hyun, Kang Tae-oh",
Search: WWW,Geomsaekeoreul Ibryeokhaseyo: WWW,TV Series,2019,N/A,1h 10m,16,1,N/A,7.7,2.1K,https://www.imdb.com/title/tt10253244/mediaviewer/rm2082563328/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi250987289/1434659607842-pgv4ql-1635853516062.mp4?Expires=1730703432&Signature=R7frP9JCXrux80LBIZzpRYTLzsKRtwJBteGAazn-FFS7asne0f8ekoxmWYZE9lsN9d7DdHyKaD~0eKYmsm03Je50N~GkGmMRjhW8WGo8B2B651Q5GV9NAgczV6hmKVWUAfrtYoSuNlRu-WmhbASvNOXsNuQp8DymvekQ8i5ebK73mrFbICNE6yrP2sfShEQ3Jg4kReSGT6Pvv1CFFq2xi4y-XqyAVHEJME8XfXCobPIDWpXzuxA0kL9bH5Ml3-L1DhyGSWrhwmH22-7Xj1A-MfPNIeV087wp~FeWuGVH41e7vNWnaUudFdaYLt3oUMq5tfFizPkxM1s3nZQ8ZHSkLQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance","Three 21st century women, working at the top two competitive web portal companies, decide to put their careers ahead of everything else in their lives.","Lim Soo-jung, Jeon Hye-jin, Lee Da-hee",Watch on The Roku Channel (https://therokuchannel.roku.com/details/0f56c00e5e9e5e119660fca0e90388cf)
Live Up to Your Name,Myeongbulheojeon,TV Series,2017,N/A,1h,16,1,N/A,8,2.1K,https://www.imdb.com/title/tt7094874/mediaviewer/rm128024833/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3750544153/1434659607842-pgv4ql-1635246410378.mp4?Expires=1730700133&Signature=eE1p2iYg3Sj-wRPD9cSDjHrPiFYCKk-Kkl7Sq7qFwKYTQAtEX7jb-WoTzuG3Ds5~mXLzWtl6xurT2KVVPlA336Dng2yVGkXOBr8WDUqVQZ3CNaHKL79NZ2VojGkbAsEZeEj5R3LVV1fuap6MxyUMkP6wempnTqhn-gtMphOAFFy9xpWa5M5qprNPByavDfmTo1vZ2N3IA6G7c6rLtu~wk74Q1pMQBURW08I7eiE3dRh2j0Y1iLiQXoBa1jz1oP2ccUgBQavM~nsBEn1sPOcDVrmg1HPBs1LEFlL~Ujx8k0HSTLKVKMo-tFai8CAW3luSmD9k3nzBBIGLlR9gVO3DCA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Fantasy, Romance","The best acupuncturist of Joseon, Heo Im, finds himself traveling 400 years into the future, where he meets Choi Yeon Kyung, doctor in a modern hospital. Though impressed by her, differences in their methods and priorities make them clash.","Kim Nam-gil, Kim Ah-jung, Yun Ju-sang",
Naesungjukin Boseu,N/A,TV Series,2017,N/A,1h 10m,16,1,N/A,7.1,2.1K,https://www.imdb.com/title/tt6257622/mediaviewer/rm3019913728/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1490535705/1434659607842-pgv4ql-1672784186924.mp4?Expires=1730703815&Signature=PAqgCkdZYzWLMkpvEEZ1jj4Fx0Mkpbur-47Qk2dE3IkARor44rKyUAF9UK3NaYpSuF9YJmzqhysZTfwzsC3B-obrZ36GkL0~bYcQlrv-v3OvQmmLHcBrYkK5ySI11fLo0PiYU72RLNC69eOGEmXaDTcpMg1Hztrg-VumnanL1-xJy1kd9VYSh8NAdog0kGQ34rtz0VeWQusRjYNJrbAlExLQi55z5eq1LBFB2NHo6EWW~BWMxzvP6O3OxunKG6OQdORK6CVqZA9p0HwL3txA3CVBfuJ4mM3TKLlYhg5oH8QLYrFx2~5sx0FTkvFNnfqvo6t73wzgn~GmnRHC67vjyQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Drama, Romance",The quiet life of an extreme introvert is thrown upside down when his company hires a cheery and outgoing new employee who's not all she seems.,"Yeon Woo-jin, Gong Seung-yeon, Yoon Park",Watch on The Roku Channel (https://therokuchannel.roku.com/details/682e42a2398e5652b35d4ecb400fdd34)
Tell Me That You Love Me,Saranghandago Malhaejweo,TV Series,2023,N/A,1h,16,1,2,8.3,1K,https://www.imdb.com/title/tt29569080/mediaviewer/rm3312276481/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1325844249/1434659607842-pgv4ql-1702380528288.mp4?Expires=1730700884&Signature=L3Cm66~HPCOHahrFvXdjMnOmB1uXXfQcvM~gBkkQ8BwmKmqGZPgeWl~KUb1fV97QBDtWM1VQt04wtjikZLYrEIworwOE5NYWwG4GNY9AS3BelnUvd2uKxELgIihFadIhdUsucU3blqDWTNscqVvklHmqKypK1RvNYnPmnmC2yR-oR7iSSy5ZHekosyKPJXJevPf7Mm8waXevrdDYzz0jaYH77yVYF3HqY~FP50sHodPUZ2hFFVyyw4lYH-z50iBCCpMlD1kjAbfjzUvwPDFoMwsA12Kc2DKAeC1NqN8cJIrbNAznLQ8zj4HSt8fsQjPo-SQZTh4u5eshpz~sWyMQFw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Romance","A healing melodrama about the fate of Cha Jin-woo, a deaf person who is used to express emotions through pictures instead of words, and Jeong Moo-eun, who expresses her heart with her voice.","Jung Woo-sung, Shin Hyeon-bin, Park Jin-joo",
"Hello, Me!",Annyeong? Naya!,TV Series,2021,N/A,1h 5m,16,1,N/A,7.2,1K,https://www.imdb.com/title/tt13670090/mediaviewer/rm2871645953/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3723739929/1434659607842-pgv4ql-1635750175239.mp4?Expires=1730701140&Signature=vAlRTtQMea-dp6jJCx5lD1sZAhajtO9k4Vk~dqS7kI0BZCjL3vt6pcx95ohhCVBdBnYNeMdahr2fvSfJsvwHoMDK4Sc3d43wT~jNfXqJs1q~6L8z1vvAME~wwj6EjJ1reFLHpZK1c6JVxJ5wg7BWUFz-pjbCv0Pig37pAZ1Xe~MWXSfrcMpB3L-1F7Mun9tV3lOK6rDlz4ZmxCTCo7YWbRYmjF-8bHQ3PDdx2IHGo8AForwOWcLy81t3cndYFOy9lgU70hocsZtEZGoJlsrBeXsZ4taCl2bRKjrbaTUCM7CJL9Hf0f3HbBFR~PG1sj-RHK89i9ycg7akKwMyDge~YQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Fantasy, Romance","Miserable and unsuccessful, a woman thinks she's lost all her spark, until one day, her spunky younger self appears in front of her demanding change.","Choi Kang-hee, Kim Young-kwang, Lee Re",Watch on Netflix (https://www.netflix.com/watch/81323200)
Kairos,Kairoseu,TV Series,2020,N/A,1h 10m,16,1,N/A,7.9,1K,https://www.imdb.com/title/tt12874950/mediaviewer/rm1993264897/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi752993049/1434659607842-pgv4ql-1636695384443.mp4?Expires=1730703339&Signature=CIwplCZSELxYltdURbNO79wMCCKO9sAGq9MZVjLJVF3JR~Qys0JEnqWvHfouN20wj~Idx5uUfsTTgVOQr-lSifZ52vYJAOUJNhjCwyb6s1ojXKGwRGAxUckWWEO2FjrcGAJ6hz5jySDrln8j3-DS2jLKRYe5-EZ0IR0qdHgbpQMDysYIpPPoqFLvAXtt0vfzMGM32U63tsoTi2VtkN0iFIdpVxFlr9rTmCtjxkEMOfpy-glrG5JhxsT0-GohP3smQig9rp~Q2Pow0YSDxEp~SNaT46k9kGyRfKTiuw0KV7gpaTW3rFuVJzTafRV~FIcsXB7vcHxzb0jNwoJ2a~EYLg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Fantasy, Mystery, Thriller","A fantasy thriller about a man who is in shock of losing his daughter and a woman who lives in the past, both struggling to save the ones they love.","Sin Seong-rok, Lee Se-yeong, Ahn Bo-hyun",
