Name,Original Title,Show Type,Release Year,Age Rating,Duration,Episodes,Seasons,Years,Rating,Number of Ratings,Poster Link,Trailer Link,Genres,Description,Stars,Streaming Services
Oh My Venus,O mai Bineoseu,TV Series,2015-2016,N/A,1h,16,1,2,7.7,7K,https://www.imdb.com/title/tt5189944/mediaviewer/rm1684302337/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi513786649/1434659607842-pgv4ql-1634193874219.mp4?Expires=1730703372&Signature=OH0xYMuIVm8j1MxuU0GHw~5cVc09pVt-hwPSC~O0eEQLwJIEeMifdM6RzrsFXT-y-m9DJcX8w1i26zM7D-OyQBuci4dG14x7lC5tIlTxYWtne2DZzp54i84d3~w7Q~M08Z9sApMX1QLcPQjZVu-h7pDldM5bZXiiKN3NubFTcX2EUrrIdXdxK0f5bOR4NfVmuuNbNfFNjTWSsTxHXRtb1tjSD7lmZltFpdTdK1GPHx84KFeW~bxmKKIb8G8RjCwYGNEOovpWKORjkNqIh4Agbp2llWfz5pDW9n1MkaoOa1x0Vm4IftYNTz9a-fDlAFCqOKLnvfG7dREjbuxrDR4BTQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Romance",A lawyer in her thirties coming out of a long relationship decides to regain her figure and health after meeting a renowned personal trainer who obsesses with leading a healthy lifestyle after suffering a serious injury in his childhood.,"So Ji-seob, Shin Min-a, Jung Gyu-woon",
When the Weather is Fine,Nalssiga joeumyeon chajagagesseoyo,TV Series,2020,N/A,1h,16,1,N/A,7.7,2.6K,https://www.imdb.com/title/tt11535086/mediaviewer/rm363627777/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3876045337/1434659607842-pgv4ql-1659953841157.mp4?Expires=1730703420&Signature=MiErTKA8oJSCpIqsxykO0zpUnLgihnXHRai4Xo6PeoYnhkQrqoLzMgHXd75FUmLCdmIbYq1hXAym5CbOASw870GJb0c3ckSrEfEPuiEnAzEVgSqXSOyp0C71BBBJ6Gj780NrYE2mMdi-lB7ffbM0U8v2~ELlHZ7ZMx2tDdHHxsph1Sb9spvy1nKgNj65DufYfdIh11vOwIFrMha6wWGskbbsIGTQwTcuMpjHzOBCJUKu6iRaku~i0VT63bFRTbG8x76TiBAY0PtssQh9OdZyYQEKEKDz7VzMsflHZ5P2EsKAJ8JkF2U2F0qkVUMIq3lX8NEAKR2yociVd3MedSFx3Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance","A story about forgiveness, healing and love taking place around a small book store in the countryside.","Park Min-young, Seo Kang-joon, Moon Jeong-Hee",Watch on Netflix (https://www.netflix.com/watch/81296714)
Angel's Last Mission: Love,"Dan, Hanaui Sarang",TV Series,2019,TV-Y7,35m,32,1,N/A,7.7,4.1K,https://www.imdb.com/title/tt10160592/mediaviewer/rm1743611136/?ref_=tt_ov_i,N/A,"Comedy, Drama, Fantasy, Romance","Dan is a care-free angel who always gets into trouble. In order to return to heaven, he is tasked with a mission to find true love for a cold and single-minded ballerina Lee Yun Seo, but ends up falling for her himself.","Shin Hye-sun, Kim Myung-soo, Lee Dong-geon",
He is Psychometric,Saikometeuri Geunyeoseok,TV Series,2019,N/A,1h 5m,16,1,N/A,7.7,2.4K,https://www.imdb.com/title/tt9696162/mediaviewer/rm592865536/?ref_=tt_ov_i,N/A,"Fantasy, Mystery, Romance, Thriller","A boy who is able to read the secrets of those whose skin comes in contact with him, and a girl who does her best to hide her pain.","Park Jin-young, Shin Ye-eun, Kwon Kim",
Kill It,N/A,TV Series,2019,N/A,1h,12,1,N/A,7.7,1.4K,https://www.imdb.com/title/tt9772814/mediaviewer/rm1536912640/?ref_=tt_ov_i,N/A,"Drama, Mystery, Thriller","Do Hyun-jin investigates a serial murder and meets Soo-hyun disguised as a veterinarian. Bound by fate, the two set out to solve the connection that has linked them.","Jang Ki-yong, Im Jin-ah, Roh Jeong-eui",
Search: WWW,Geomsaekeoreul Ibryeokhaseyo: WWW,TV Series,2019,N/A,1h 10m,16,1,N/A,7.7,2.1K,https://www.imdb.com/title/tt10253244/mediaviewer/rm2082563328/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi250987289/1434659607842-pgv4ql-1635853516062.mp4?Expires=1730703432&Signature=R7frP9JCXrux80LBIZzpRYTLzsKRtwJBteGAazn-FFS7asne0f8ekoxmWYZE9lsN9d7DdHyKaD~0eKYmsm03Je50N~GkGmMRjhW8WGo8B2B651Q5GV9NAgczV6hmKVWUAfrtYoSuNlRu-WmhbASvNOXsNuQp8DymvekQ8i5ebK73mrFbICNE6yrP2sfShEQ3Jg4kReSGT6Pvv1CFFq2xi4y-XqyAVHEJME8XfXCobPIDWpXzuxA0kL9bH5Ml3-L1DhyGSWrhwmH22-7Xj1A-MfPNIeV087wp~FeWuGVH41e7vNWnaUudFdaYLt3oUMq5tfFizPkxM1s3nZQ8ZHSkLQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance","Three 21st century women, working at the top two competitive web portal companies, decide to put their careers ahead of everything else in their lives.","Lim Soo-jung, Jeon Hye-jin, Lee Da-hee",Watch on The Roku Channel (https://therokuchannel.roku.com/details/0f56c00e5e9e5e119660fca0e90388cf)
Come and Hug Me,Iriwa Anajwo,TV Series,2018,N/A,35m,32,1,N/A,7.7,1.5K,https://www.imdb.com/title/tt8269398/mediaviewer/rm3219803392/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2668742169/1434659607842-pgv4ql-1720875469476.mp4?Expires=1730703435&Signature=aa57HVe2QA4JdZKIbUkjW7ph9friyybR~0Ol1VwnM0Xpqgd1zrljHyNSu~QUz90Z8zhChHuE~CL5upwR-rCc-R0ffEws56K1dokFU5m7S~bOVuEfNXcojv~nDwZUFEevKyznApYBbgpFvX4oEK~1OyYX~I5a1nmxHE9-BF~epHlvFz0Uh~lO2XPlM9RfCn1~ZndLuewEKwDKsKpM2Yk4vUxI0aK3T1-VIhhnFw05bpzm8tPl2Qiz-ts1W~cz13YKY7B7PyzCcz3MfobkoQPbytJ7N3v~rn5rrqlY0dGr7DIPhqg0UFCUfJsbyarmAJ4bCcfyZ36oghckWAwWyeRvrw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Crime, Drama, Mystery, Romance","A dramatic drama depicting the love of a man and a woman whose lives are linked because of a murder since young age. Despite an unfortunate destiny and the stigma and pains, they will try to be happy and heal their wounds.","Jang Ki-yong, Jin Ki-joo, Huh Joon-ho",
Psychopath Diary,Ssaikopaeseu Daieori,TV Series,2019-2020,N/A,1h 15m,16,1,2,7.7,890,https://www.imdb.com/title/tt11133466/mediaviewer/rm3127227649/?ref_=tt_ov_i,N/A,"Comedy, Crime, Mystery, Thriller","""Psychopath Diary"" is the story of Yook Dong Sik who coincidentally picks up the diary of a serial killer.","Yoon Shi-Yoon, Jung In-sun, Park Sung-hoon",
Beautiful Mind,Byutipul Maindeu,TV Series,2016,N/A,1h,14,1,N/A,7.7,945,https://www.imdb.com/title/tt5764360/mediaviewer/rm1069487616/?ref_=tt_ov_i,N/A,"Drama, Mystery, Romance","Lee Young-O is an excellent neurosurgeon with zero sympathy. One day, he becomes involved in bizarre patient deaths. He also falls in love and recovers his humanity.","Jang Hyuk, Park So-dam, Huh Joon-ho",
The Greatest Love,Choegoui Sarang,TV Series,2011,N/A,N/A,16,1,N/A,7.7,1.2K,https://www.imdb.com/title/tt2304406/mediaviewer/rm459727872/?ref_=tt_ov_i,N/A,"Comedy, Drama, Romance","Gu Ae-Jeong, a wash out idol, meets famous actor Dokgo-Jin by chance. Off to a bad start, a series of rumors makes them get involved in each other's careers and boosts Ae-Jeong's popularity enough to participate in a match making show.","Yoo In-na, Yoon Kyesang, Kong Hyo-jin",
My Daughter Seo Young,N/A,TV Series,2012-2013,N/A,N/A,50,1,2,7.7,132,https://www.imdb.com/title/tt3544892/mediaviewer/rm929896960/?ref_=tt_ov_i,N/A,"Korean Drama, Soap Opera, Comedy, Drama, Family, Romance","""Seo-Young, My Daughter"" tells the story of a father who separates with his daughter, their love, hate and reconciliation.","Lee Bo-young, Chun Ho-jin, Lee Sang-yoon",
"Smile, You",N/A,TV Series,2009-2010,N/A,1h 5m,45,1,2,7.7,123,https://www.imdb.com/title/tt6289530/mediaviewer/rm3477025537/?ref_=tt_ov_i,N/A,"Family, Romance","Jung In's perfect life disintegrates overnight when her family's business fails. Her wealthy fiance leaves her at the altar, her father is sent to jail and her family home is sold from under them.","Lee Min-Jung, Chun Ho-jin, Choi Jeong-yun",
Somehow 18,Eo-jjeo-da 18,TV Mini Series,2017,N/A,15m,10,1,N/A,7.7,320,https://www.imdb.com/title/tt7278424/mediaviewer/rm959193856/?ref_=tt_ov_i,N/A,"Fantasy, Romance, Short",A handsome orthopedic surgeon loses his first love who committed suicide when he was in his high school days. To save her he gets the chance to go back in time.,"Choi Min-ho, Lee Yoo-bi, Kim Bo-mi",
On the Verge of Insanity,Michiji Angoseoya,TV Series,2021,N/A,1h 5m,16,1,N/A,7.7,98,https://www.imdb.com/title/tt14408332/mediaviewer/rm2944582913/?ref_=tt_ov_i,N/A,"Workplace Drama, Comedy, Drama",It follows the story of middle-aged office workers struggling to survive in a turbulent workplace.,"Moon So-ri, Jeong Jae-yeong, Lee Sang-Yeob",
"Bring It On, Ghost",Ssawooja Gwishina,TV Series,2016,1h,TV-14,16,1,N/A,7.6,3.6K,https://www.imdb.com/title/tt5768840/mediaviewer/rm2881557504/?ref_=tt_ov_i,N/A,"Supernatural Fantasy, Supernatural Horror, Comedy, Fantasy, Horror, Romance",Hyun Ji is a 19-year-old wandering ghost. One day she meets an exorcist named Bong Pal. They team up to listen to and solve the problems of various ghosts so that they can rest peacefully.,"Im In-Seu, Taecyeon, Kim So-hyun",Watch on Netflix (https://www.netflix.com/watch/81415948)
She Was Pretty,Geunyeoneun yeppeodda,TV Series,2015,N/A,1h,16,1,N/A,7.6,6.7K,https://www.imdb.com/title/tt5045900/mediaviewer/rm599184641/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi683590425/1434659607842-pgv4ql-1631805972946.mp4?Expires=1730703464&Signature=qAiXH0NlZJbFTiiWrPY6cpaH-yiyh8q1ksovJcpHowG3PX3-I1qo5wMfI7MN~vIFFx9~t9FvtiwDZixQEtYSAzmHjIgdhHf33JCSU~AX97QJiUvwTXRkPgJ2TV-qBMBEruyn7NcXV0euLLd4w8kW5KyTARcYLw91Bf8WU5KxStwrEn0w7BBHQJoIsiuJvIQUWzTlAE8Ck-TxdcRN4~HnklWZvWAI27YmCnoQ8XlVn6wsgzd2rBER3Jlry1KZU4H144EwmWWkpJ9qzyBOMfnbZY9zzYpQ9NARjAo-qPS4XJrF1Wa~aYW80hh04YiHhwNifZwJO0xnqAno09jD86~8EA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Romance","When Ji Sung-Joon was young, he was ugly. As he grew up, he began to have an attractive appearance. When Kim Hye-Jin was young, she was pretty. As she grew up, she became ugly. Ji Sung-Joon tries to find his first love.","Hwang Jeong-eum, Park Seo-joon, Ko Jun-hee",
Doctors,Dakteoseu,TV Series,2016,N/A,1h,20,1,N/A,7.6,3.3K,https://www.imdb.com/title/tt5764332/mediaviewer/rm3647346176/?ref_=tt_ov_i,N/A,"Medical Drama, Comedy, Drama, Romance","A rebellious young woman encounters a compassionate teacher whose impact motivates her to transform her life, aspiring to become a neurosurgeon.","Park Shin-hye, Lee Sung-kyung, Kim Rae-won",Watch on The Roku Channel (https://therokuchannel.roku.com/details/8a1ccee577065866af8d9b0add5e5299)
Encounter,Namjachingoo,TV Series,2018-2019,N/A,1h,16,1,2,7.6,2.6K,https://www.imdb.com/title/tt8769260/mediaviewer/rm927560448/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi4294492953/1434659607842-pgv4ql-1636112250426.mp4?Expires=1730703308&Signature=YU6L9JFY5f5066kO3BmIqfckc5V3IR-5ZBLVAXQFnhbvtyKqRYc0PCf2x2ugy1bNixj8jj0fRWNtbeFRKdk4uwFthKOFyC8RizHcc0MrtSVl1C03MxBIthz5gJA6OKnwngXCNxtdzVt2uYkDALoU7WOpoJJFiPaoNc6vWLRKT9P7~zXhyAHQASs6nW7YJAlAhvjYdhToAg97HtrxRzzga2ECpuxgRtptkc3IjaRvWfRC2k05G-30B6R8q0qb6UGwdfBN9KK-gt5eA~D0aJce5OIRzpPwTTIajfG4RR3SvspPi~cxdjaYuKcpXAMocA2nWRBhXSCo2Jtb8aJ4TWDFgQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance","Brought together by fate, a woman who seems to have everything and a young man who seems to have nothing decides to give up an ordinary life to be together.","Park Bo-gum, Song Hye-kyo, Jeon So-nee",Watch on Netflix (https://www.netflix.com/watch/81685212)
Memorist,Memoriseuteu,TV Series,2020,N/A,1h,16,1,N/A,7.6,1.5K,https://www.imdb.com/title/tt11953100/mediaviewer/rm167034625/?ref_=tt_ov_i,N/A,"Fantasy, Mystery, Thriller","Based on the hit webtoon of the same name, ""Memorist"" is a mystery thriller that tells the story of Dong Baek, a detective with supernatural powers.","Hoo Jae, Yoo Seung-ho, Lee Se-yeong",
Touch Your Heart,Jinsimi Dadda,TV Series,2019,N/A,1h,16,1,N/A,7.6,5.2K,https://www.imdb.com/title/tt9466990/mediaviewer/rm2922670592/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1710670617/1434659607842-pgv4ql-1635942523084.mp4?Expires=1730703028&Signature=TxNH2Pzv9xx~mf4K--R8abptn3Yri4-yUrnd6HYfrKLDnbBjs28ea~N0628kJXlS5v6SEipT4LMqCDKxFjlNPOjbH82L6GekPEXnKuhyHBZZPjqpoczKZZNFmwQW0~6Q-FYzxQGrMqcwaJ0cMVNENa1~PdyFHdSTNboGJEIn0-qWCxFUWZ67AyATnvolrMCmFD~EebarE90rp980W0dIJG-JUAwStk-uzjdpHTvON7J1T26vgCfMf5yZIZortfKcggo3W-uyBVOB~eTOccAJrXnzElbTXSP4rY6h1I9as99d~MFUC1D5bjPcLrbz75IW1uHENt8b1CYB3iU41OTLWQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Romance","An affair between a lawyer and a first-rate actress, whose life goes downhill after being involved in a scandal. She fakes her position to become the lawyer's secretary and star in a writer's drama.","Lee Dong-wook, Lee Sang-woo, Son Sung-yoon",Watch on The Roku Channel (https://therokuchannel.roku.com/details/2904c4ec87745396af33d7bf2393df64)
Lovers of the Red Sky,Hong Cheon Gi,TV Series,2021,N/A,1h 10m,16,1,N/A,7.6,1.5K,https://www.imdb.com/title/tt13776460/mediaviewer/rm3875732481/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1052689177/1434659607842-pgv4ql-1631804129984.mp4?Expires=1730703481&Signature=ObjfD1RUHm2G5yPsUrYIwwwYsIItpHUIMKG5rLwbYEsV4JCx0WBIxUsPRMfB1d79tsYnJnhT-m~JkzqMf4yro5PluJivlgYwe5k1IFgmxVppMuLXzOGelLNH-paY~0eqsjESpM~bIDqy56OpZ9rXjaHzfnlY45-Mt~7-TmMdBhXZeg-Gs7MOvDgGCuxXY4JXhlHGyWG0WZyTCXpbqTi5T-N61WsUXYFF7cKquoJcqcVjOMjjht~sF~6o-al9Ufq7Pxpo4BQ22TkC~mSjyOF7FDwDA-PndQ92OxZDYl8g909MigTsmzD4OG2L~7R83xY3k8r5Hu0X13kqEK0sI-jMeQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Supernatural Fantasy, Drama, Fantasy, Romance",Hong Chun Gi is a female painter with magical painting talent. She is picked as the first female painter. One day she meets Ha Ram whose curse has some magical connection with her talent.,"Kim Yoo-jung, Ahn Hyo-seop, Gong Myoung",
Doctor Prisoner,Dakteo Peurijeuneo,TV Series,2019,N/A,35m,32,1,N/A,7.6,1.3K,https://www.imdb.com/title/tt9863766/mediaviewer/rm2726210049/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2566832921/1434659607842-pgv4ql-1636534416158.mp4?Expires=1730703391&Signature=M13JAL01MmGtunCkcQL2m43oAk6ojUXIfoN-tkb1ZiNec69dHBm9DXuME65rpvpqcCJl0gYwXzBvP~HmaWOYRpIHMQWYdXuVC3Kctox6uoweJLFTe3pwore2wKRljVPBFLkgO6vrJsslRD~0dT5h0NCHPpEgkSCBvHTVgvhpE~j~8KOvcsF-dgnmxFtM-ULHYEYTPfBqvNz8gUJ8P4nmheOcrA9KX4kDHhznoZYoJnCBF5ELO3mUbZGuBP5pz0Pm6fN8y~Gamq4WbrP~oQRX~Pr-YIWWWrg75aWbHCf4QO22XDxinYFEmrkAXoIYjuV59JGDoeRtHpopHUewZeR7Tw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Mystery, Thriller","Doctor Prisoner centers around an ace doctor in a university hospital's emergency care center, a skilled professional who treats his patients with full devotion and without discrimination.","Kim Byeong-cheol, Min Nam-koong, Nara",
Tell Me What You Saw,N/A,TV Series,2020,N/A,1h,16,1,N/A,7.6,1.2K,https://www.imdb.com/title/tt11557904/mediaviewer/rm801342721/?ref_=tt_ov_i,N/A,"Mystery, Thriller",An eccentric genius profiler works with a detective with photographic memory and a police chief to go after a serial killer who was thought to be dead.,"Jang Hyuk, Sooyoung Choi, Ha Yoon",Watch on The Roku Channel (https://therokuchannel.roku.com/details/4f6d02d71e7651d7affe630ebf710cb8)
Mad Dog,Maedeudok,TV Series,2017,N/A,1h,16,1,N/A,7.6,1.1K,https://www.imdb.com/title/tt7396412/mediaviewer/rm3563284993/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3112354585/1434659607842-pgv4ql-1634538449882.mp4?Expires=1730703490&Signature=lE7uL0~6cPejARNX7tq1o-BpsJ6PD0OSXt5itnOqOanCPTSgofd4Cl5Xo1iIeSs-7ikE-A1t-XNEUMS-FiQlzSfQEEBj5r4QoMqwcXT-1yz13M0ct8lWjg3B15DPmDwm82v-m6XOaooeYrzO1ku3JHgwDxwgaozQ1JQkiNeAlGl9M5Ivbv3G8iS7cjUxwIs-qGOSlbjCte35u-Ho3BcnXvpAwt~i1aNoEeNldPxJVADUyoOXeFJqnssSOYkmfE3zp0S04aal-aNRYfBb1uVwrHc9sUDo6scIWwiCUnCrHB7BPTipHGuhDnkHdx-uhLs0H-kJFVGjNcYWbL6LTKSLag__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Crime, Drama, Thriller","After a plane crash took his family, an ex-cop forms an investigation team and meets a genius ex-con whose brother died, starting a rivalry and partnership.","Baek Ji-won, Hong Soo-hyun, Choi Won-young","Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.42b9804c-a2fa-ba3a-8463-5b4f372ba387), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.92a9f7c5-fc71-9184-5cab-31217cacf4fd)"
My Girlfriend Is a Gumiho,Nae Yeojachinguneun Gumiho,TV Series,2010,N/A,1h,16,1,N/A,7.6,3.8K,https://www.imdb.com/title/tt2255085/mediaviewer/rm1847649280/?ref_=tt_ov_i,N/A,"Comedy, Fantasy, Romance","Chae Dae Wong, an aspiring actor, unwillingly releases a Gumiho, a legendary nine-tailed fox, from her centuries-old prison. He runs away terrified and ends up injuring himself badly, but she saves his life and asks to stay by his side.","Shin Min-a, Lee Seung-gi, No Min-woo",
The King 2 Hearts,N/A,TV Series,2012,N/A,1h 5m,20,1,N/A,7.6,1.6K,https://www.imdb.com/title/tt2346947/mediaviewer/rm1877337088/?ref_=tt_ov_i,N/A,"Action, Drama, Romance",The crown-prince of South Korea is forced to work alongside a female North Korean military officer. Political and emotional complications lead to an uneasy marriage engagement.,"Lee Seung-gi, Ha Ji-Won, Yun Je-mun",
Five Children,Aiga Dasut,TV Series,2016,N/A,1h 10m,54,1,N/A,7.6,151,https://www.imdb.com/title/tt5511992/mediaviewer/rm3830192128/?ref_=tt_ov_i,N/A,"Comedy, Drama, Romance","Sang Tae, a widowed marketing manager with a son and daughter, falls in love with a fellow employee, Mi Jung, a single mother with three kids of her own. Together, the couple experiences true happiness while working through conflict.","Shim Hyung-tak, Shim Yi-yeong, Im Soo-hyang",
The Innocent Man,Sesang Eodiedo Eobneun Chakhan Namja,TV Series,2012,N/A,1h,20,1,N/A,7.6,2.4K,https://www.imdb.com/title/tt2593336/mediaviewer/rm1961223168/?ref_=tt_ov_i,N/A,Drama,"Medical student Kang Ma-Ru is framed for a crime. Seeking revenge, he uses Seo Eun-Gi but realizes there are more important things in life.","Song Joong-ki, Moon Chae-won, Park Si-yeon",
My Secret Terrius,Nae Dwie Teriuseu,TV Series,2018,TV-14,35m,32,1,N/A,7.6,1.8K,https://www.imdb.com/title/tt8591092/mediaviewer/rm3189604096/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi869319449/1434659607842-pgv4ql-1637735033239.mp4?Expires=1730703504&Signature=r9TF-6LrDGRH~3LYxoqS4yxIhJWzyl2ReTNr0J5nTtuLXmWSSOse-GLDUSeWDzevhPKj6xh0TuYsQy6D7RW0~Id4uCgUR1SI1KQEX0GXvosh5GVhRX1NZ3iZ~VGj0sWZ5eau2A71E4wyDeNCoet9RLa996HNIrkeIeq-M~AkYfDGI933LnIRN4Li~bbqVgI5X3SzUgFWhAsEL1hH17nVgX~iBOYUPjY~nhmHp055jgC-~gAI8YkQcepDrFOYt4r8sFDNfTaqVY-L8L2zUFOmAR2YU5V5edRVndnQtv5bcZBDhfU-bcssFuz3F5fiuF-1Q4Y1U9aW7ztqhkfm2ZA5vw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Conspiracy Thriller, Comedy, Drama, Romance, Thriller","Go Ae Rin suddenly loses her husband. A mysterious man, Kim Bon, lives next door. Kim Bon is a legendary NIS agent. He helps Ae Rin uncover a conspiracy, which husband became involved with.","Jung In-sun, Kang Ki-young, So Ji-seob",
Princess Hours,Goong,TV Series,2006,TV-Y,1h,24,1,N/A,7.6,3.1K,https://www.imdb.com/title/tt0843195/mediaviewer/rm1678167809/?ref_=tt_ov_i,N/A,"Comedy, Romance","Love, tradition, and politics collide when a spirited young art student is betrothed to the crown prince of South Korea.","Yoon Eun-hye, Ju Ji-hoon, Song Ji-hyo",
D-Day,Di Dei,TV Series,2015,TV-14,1h 5m,20,1,N/A,7.6,389,https://www.imdb.com/title/tt5145142/mediaviewer/rm2140779777/?ref_=tt_ov_i,N/A,"Korean Drama, Medical Drama, Survival, Drama, Romance",A natural disaster strikes the city of Seoul. The whole city becomes paralyzed. Doctors and emergency personnel struggle to save the people.,"Kim Young-kwang, Jung So-min, Kim Hye-Eun",
Let's Eat,N/A,TV Series,2013-2018,N/A,50m,48,3,4,7.6,679,https://www.imdb.com/title/tt3385484/mediaviewer/rm2903085825/?ref_=tt_ov_i,N/A,"Comedy, Romance","Four single people: happily divorced paralegal Lee Soo-kyung (Lee Soo-kyung), mysterious gourmand Goo Dae-young (Yoon Doo-joon), design student and former rich girl Yoon Jin-yi (Yoon So-hee), and petty lawyer Kim Hak-moon (Shim Hyung-tak). Who enjoy living alone, except for that ...Read all","Yoon Doo-joon, Seo Hyeon-jin, Kwon Yul","Watch on Netflix (https://www.netflix.com/watch/81415945), Watch on The Roku Channel (https://therokuchannel.roku.com/details/316de4d955e9509ea160f422f0e3584b), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.82b296f7-5781-ec8c-bd5b-18515bd9298b)"
Wonderful Days,Cham Joheun Sijeol,TV Series,2014,N/A,1h 5m,50,1,N/A,7.6,79,https://www.imdb.com/title/tt5124680/mediaviewer/rm796320768/?ref_=tt_ov_i,N/A,"Drama, Romance","Dong Suk, a prosecutor from a humble background, returns to his hometown after 14 years and unexpectedly falls for his first love Hae Won again","Lee Seo-jin, Kim Hee-seon, Taecyeon",
The Accidental Couple (That Fool),N/A,TV Series,2009,N/A,N/A,16,1,N/A,7.6,173,https://www.imdb.com/title/tt2799100/mediaviewer/rm4000128512/?ref_=tt_ov_i,N/A,"Comedy, Drama, Romance","An ordinary post office clerk is hired by an actress to save the face of the lover. After they agree to a six-month contract marriage, they face new challenges from those lies.","Hwang Jung-min, Kim Ah-jung, Lee Chung-Ah",
All About My Mom,"Butakhaeyo, Eomma",TV Series,2015-2016,N/A,1h 20m,54,1,2,7.6,69,https://www.imdb.com/title/tt5321300/mediaviewer/rm2492655360/?ref_=tt_ov_i,N/A,"Drama, Romance","Jin Ae has a love and hate relationship with her mother San Ok. She dreams of becoming independent from her family and especially from her mother. Jin Ae falls in love with Hoon Jae and marries him. Meanwhile, what awaits for Jin Ae is her new mother-in-law. While experiencing di...Read all","Kim Yoo-jin, Lee Sang-woo, Ko Du-shim",
Should We Kiss First,Kiseu Meonjeo Halggayo,TV Series,2018,N/A,N/A,40,1,N/A,7.6,80,https://www.imdb.com/title/tt7897044/mediaviewer/rm4038487552/?ref_=tt_ov_i,N/A,"Drama, Romance",The story follows the love lives of four adults who have lost their faith in love.,"Oh Ji-ho, Kim Seon-a, Park Si-yeon",
Heirs,Sangsogjadeul,TV Series,2013,N/A,55m,20,1,N/A,7.5,14K,https://www.imdb.com/title/tt3243098/mediaviewer/rm1168303872/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1183564569/1434659607842-pgv4ql-1635146342941.mp4?Expires=1730703233&Signature=WYV4CDe7NfiTw7RZ0GO3duVfsZqdfpsBYB7HkC75J5BGzI5X9Vs6Sb9ahWYcqmhcG9cBo88xhlwtKSyLis3jlJa11E-Tx3BwA7tjyDSBeXCzfeLTGd1N67a~pnK3MJz-pi9ku8Z-LjISbi~auuJ9sRNGmv7AiJJG-KmuLkXyqFnA7alocH3Moyjk4keNI4STkroF-ARIogA4FjrG5r9N6pJderEQdjouzlli8GqhZIVq2eBDpmCB30~m34~gbTJOJQQFvZDPutiSmB8bJWS619oWE8BeTTrMOZsMZYzKPb~VpYqaXhSc5uOoQI3Iaf7dOI4MXcb4fHkdWf4iHbVS2w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Drama, Romance","After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea's über rich.","Lee Min-ho, Park Shin-hye, Kim Woo-bin","Watch on Netflix (https://www.netflix.com/watch/81033650), Watch on The Roku Channel (https://therokuchannel.roku.com/details/1a56713e7c425f88820d3335b90b3fc5), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.b3589ee3-1d3e-413a-a40a-361982c25695)"
